id,scheduled_at,platform,song,imagery,imagery_url,clip_url,text,drafts,reply_text,x_media_key,media_key,approved,execution_mode,post_type,desired_privacy,creative_id,clip_id,concept,destination
FP-BRAND-AM-W2-01-13-X,2026-07-12T10:15:00-04:00,X,Analog Myth,Analog Myth track 1 cover,https://www.lilyroo.com/assets/albums/analog-myth/art/01-13.jpg,,"13 counts down and refuses to become clean math. Analog Myth keeps humming.

Album room: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-01-13-x&to=album","13 counts down and refuses to become clean math. Analog Myth keeps humming.

Album room: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-01-13-x&to=album||Second pass through the Analog Myth room: 13 counts down and refuses to become clean math.

Album room: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-01-13-x&to=album","Album: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-01-13-x&to=album
Echo: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-01-13-x&to=echo
Video: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-01-13-x&to=video",,analog-myth-01-13-cover,yes,auto,image,,,,,
FP-BRAND-AM-W2-01-13-FACEBOOK,2026-07-12T11:20:00-04:00,Facebook,Analog Myth,Analog Myth track 1 cover,https://www.lilyroo.com/assets/albums/analog-myth/art/01-13.jpg,,"Analog Myth afterglow, track 1: 13 counts down and refuses to become clean math.

The album page, Echo Thread play-through, and full playlist are live.","Analog Myth afterglow, track 1: 13 counts down and refuses to become clean math.

The album page, Echo Thread play-through, and full playlist are live.||Second pass through the Analog Myth room: 13 counts down and refuses to become clean math.","Analog Myth: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-01-13-facebook&to=album
Echo Thread: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-01-13-facebook&to=echo
Track video: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-01-13-facebook&to=video",,analog-myth-01-13-cover,yes,auto,image,,,,,
FP-BRAND-AM-W2-02-GIRLS-CAMP-X,2026-07-13T10:15:00-04:00,X,Analog Myth,Analog Myth track 2 cover,https://www.lilyroo.com/assets/albums/analog-myth/art/02-girls-camp.jpg,,"Girls Camp leaves the old cabin lights on just long enough for the story to change shape. Analog Myth keeps humming.

Album room: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-02-girls-camp-x&to=album","Girls Camp leaves the old cabin lights on just long enough for the story to change shape. Analog Myth keeps humming.

Album room: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-02-girls-camp-x&to=album||Second pass through the Analog Myth room: Girls Camp leaves the old cabin lights on just long enough for the story to change shape.

Album room: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-02-girls-camp-x&to=album","Album: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-02-girls-camp-x&to=album
Echo: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-02-girls-camp-x&to=echo
Video: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-02-girls-camp-x&to=video",,analog-myth-02-girls-camp-cover,yes,auto,image,,,,,
FP-BRAND-AM-W2-02-GIRLS-CAMP-FACEBOOK,2026-07-13T11:20:00-04:00,Facebook,Analog Myth,Analog Myth track 2 cover,https://www.lilyroo.com/assets/albums/analog-myth/art/02-girls-camp.jpg,,"Analog Myth afterglow, track 2: Girls Camp leaves the old cabin lights on just long enough for the story to change shape.

The album page, Echo Thread play-through, and full playlist are live.","Analog Myth afterglow, track 2: Girls Camp leaves the old cabin lights on just long enough for the story to change shape.

The album page, Echo Thread play-through, and full playlist are live.||Second pass through the Analog Myth room: Girls Camp leaves the old cabin lights on just long enough for the story to change shape.","Analog Myth: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-02-girls-camp-facebook&to=album
Echo Thread: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-02-girls-camp-facebook&to=echo
Track video: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-02-girls-camp-facebook&to=video",,analog-myth-02-girls-camp-cover,yes,auto,image,,,,,
FP-BRAND-AM-W2-03-ANALOG-MYTH-X,2026-07-14T10:15:00-04:00,X,Analog Myth,Analog Myth track 3 cover,https://www.lilyroo.com/assets/albums/analog-myth/art/03-analog-myth.jpg,,"Analog Myth keeps the clocks unreliable and the tape warm. Analog Myth keeps humming.

Album room: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-03-analog-myth-x&to=album","Analog Myth keeps the clocks unreliable and the tape warm. Analog Myth keeps humming.

Album room: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-03-analog-myth-x&to=album||Second pass through the Analog Myth room: Analog Myth keeps the clocks unreliable and the tape warm.

Album room: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-03-analog-myth-x&to=album","Album: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-03-analog-myth-x&to=album
Echo: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-03-analog-myth-x&to=echo
Video: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-03-analog-myth-x&to=video",,analog-myth-03-analog-myth-cover,yes,auto,image,,,,,
FP-BRAND-AM-W2-03-ANALOG-MYTH-FACEBOOK,2026-07-14T11:20:00-04:00,Facebook,Analog Myth,Analog Myth track 3 cover,https://www.lilyroo.com/assets/albums/analog-myth/art/03-analog-myth.jpg,,"Analog Myth afterglow, track 3: Analog Myth keeps the clocks unreliable and the tape warm.

The album page, Echo Thread play-through, and full playlist are live.","Analog Myth afterglow, track 3: Analog Myth keeps the clocks unreliable and the tape warm.

The album page, Echo Thread play-through, and full playlist are live.||Second pass through the Analog Myth room: Analog Myth keeps the clocks unreliable and the tape warm.","Analog Myth: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-03-analog-myth-facebook&to=album
Echo Thread: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-03-analog-myth-facebook&to=echo
Track video: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-03-analog-myth-facebook&to=video",,analog-myth-03-analog-myth-cover,yes,auto,image,,,,,
FP-BRAND-AM-W2-04-SPILLING-THE-TEA-X,2026-07-15T10:15:00-04:00,X,Analog Myth,Analog Myth track 4 cover,https://www.lilyroo.com/assets/albums/analog-myth/art/04-spilling-the-tea.jpg,,"Spilling the Tea turns the receipt drawer into a tiny movie set. Analog Myth keeps humming.

Album room: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-04-spilling-the-tea-x&to=album","Spilling the Tea turns the receipt drawer into a tiny movie set. Analog Myth keeps humming.

Album room: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-04-spilling-the-tea-x&to=album||Second pass through the Analog Myth room: Spilling the Tea turns the receipt drawer into a tiny movie set.

Album room: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-04-spilling-the-tea-x&to=album","Album: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-04-spilling-the-tea-x&to=album
Echo: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-04-spilling-the-tea-x&to=echo
Video: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-04-spilling-the-tea-x&to=video",,analog-myth-04-spilling-the-tea-cover,yes,auto,image,,,,,
FP-BRAND-AM-W2-04-SPILLING-THE-TEA-FACEBOOK,2026-07-15T11:20:00-04:00,Facebook,Analog Myth,Analog Myth track 4 cover,https://www.lilyroo.com/assets/albums/analog-myth/art/04-spilling-the-tea.jpg,,"Analog Myth afterglow, track 4: Spilling the Tea turns the receipt drawer into a tiny movie set.

The album page, Echo Thread play-through, and full playlist are live.","Analog Myth afterglow, track 4: Spilling the Tea turns the receipt drawer into a tiny movie set.

The album page, Echo Thread play-through, and full playlist are live.||Second pass through the Analog Myth room: Spilling the Tea turns the receipt drawer into a tiny movie set.","Analog Myth: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-04-spilling-the-tea-facebook&to=album
Echo Thread: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-04-spilling-the-tea-facebook&to=echo
Track video: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-04-spilling-the-tea-facebook&to=video",,analog-myth-04-spilling-the-tea-cover,yes,auto,image,,,,,
FP-BRAND-AM-W2-05-NO-MORTGAGE-X,2026-07-16T10:15:00-04:00,X,Analog Myth,Analog Myth track 5 cover,https://www.lilyroo.com/assets/albums/analog-myth/art/05-no-mortgage.jpg,,"No Mortgage puts the escape plan on the table and lets it glow. Analog Myth keeps humming.

Album room: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-05-no-mortgage-x&to=album","No Mortgage puts the escape plan on the table and lets it glow. Analog Myth keeps humming.

Album room: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-05-no-mortgage-x&to=album||Second pass through the Analog Myth room: No Mortgage puts the escape plan on the table and lets it glow.

Album room: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-05-no-mortgage-x&to=album","Album: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-05-no-mortgage-x&to=album
Echo: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-05-no-mortgage-x&to=echo
Video: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-05-no-mortgage-x&to=video",,analog-myth-05-no-mortgage-cover,yes,auto,image,,,,,
FP-BRAND-AM-W2-05-NO-MORTGAGE-FACEBOOK,2026-07-16T11:20:00-04:00,Facebook,Analog Myth,Analog Myth track 5 cover,https://www.lilyroo.com/assets/albums/analog-myth/art/05-no-mortgage.jpg,,"Analog Myth afterglow, track 5: No Mortgage puts the escape plan on the table and lets it glow.

The album page, Echo Thread play-through, and full playlist are live.","Analog Myth afterglow, track 5: No Mortgage puts the escape plan on the table and lets it glow.

The album page, Echo Thread play-through, and full playlist are live.||Second pass through the Analog Myth room: No Mortgage puts the escape plan on the table and lets it glow.","Analog Myth: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-05-no-mortgage-facebook&to=album
Echo Thread: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-05-no-mortgage-facebook&to=echo
Track video: https://www.lilyroo.com/go/am.html?p=fp-brand-am-w2-05-no-mortgage-facebook&to=video",,analog-myth-05-no-mortgage-cover,yes,auto,image,,,,,
