id,scheduled_at,platform,song,imagery,imagery_url,clip_url,text,drafts,reply_text,x_media_key,media_key,approved,execution_mode,post_type,desired_privacy,expired_at,expiration_reason
FP-AUTO-258,2026-06-23T10:00:00+08:00,Instagram,I Learned It All in Fifteen Seconds,Launch cover art spotlight,https://www.lilyroo.com/assets/albums/i-learned-it-all-in-fifteen-seconds/art/01-i-learned-it-all-in-fifteen-seconds.jpg,,"The first Lily Roo single is live, and the cover art has been remastered into its proper tiny-room glow.","The first Lily Roo single is live, and the cover art has been remastered into its proper tiny-room glow.||The phone taught me heartbreak at unsafe speed. Naturally I made it a song, then gave the cover a cleaner master.||I Learned It All in Fifteen Seconds is streaming now. Remastered cover art. Same little room. Sharper evidence.",Listen on Spotify: https://open.spotify.com/album/5TBsbgE68DTPlAFsPsLEhi | Apple Music: https://music.apple.com/us/album/i-learned-it-all-in-fifteen-seconds-single/6768918249 | YouTube Music: https://music.youtube.com/watch?v=vK0mDIW65o4,,i-learned-cover,no,auto,image,,2026-07-05T22:02:50.161519Z,unapproved_past_due_before_2026-07-04T22:02:50.161519Z
FP-AUTO-259,2026-06-05T20:40:00-04:00,TikTok,I Learned It All in Fifteen Seconds,Launch clip + streaming CTA,https://www.lilyroo.com/assets/albums/i-learned-it-all-in-fifteen-seconds/art/01-i-learned-it-all-in-fifteen-seconds.jpg,https://www.lilyroo.com/assets/ig/01_i_learned_it_all_60s.mp4,I learned it all in fifteen seconds and somehow still have homework. Streaming now.,I learned it all in fifteen seconds and somehow still have homework. Streaming now.||A world of strangers in my phone. Very educational. Very concerning. Now streaming.||First single is live. Remastered art. Same emotional damage report.,Listen on Spotify: https://open.spotify.com/album/5TBsbgE68DTPlAFsPsLEhi | Apple Music: https://music.apple.com/us/album/i-learned-it-all-in-fifteen-seconds-single/6768918249 | YouTube Music: https://music.youtube.com/watch?v=vK0mDIW65o4,,i-learned-60s,no,auto,video,PUBLIC_TO_EVERYONE,2026-07-05T22:02:50.161519Z,unapproved_past_due_before_2026-07-04T22:02:50.161519Z
FP-AUTO-263,2026-06-24T10:00:00+08:00,Instagram,I Learned It All in Fifteen Seconds,Remastered art detail,https://www.lilyroo.com/assets/albums/i-learned-it-all-in-fifteen-seconds/art/01-i-learned-it-all-in-fifteen-seconds.jpg,,Remastered album art for a song about learning too much too fast. The room is still small. The evidence is cleaner.,Remastered album art for a song about learning too much too fast. The room is still small. The evidence is cleaner.||The single is streaming now. I gave the cover the big-frame treatment because apparently feelings need packaging.||Fifteen seconds is apparently enough time to borrow someone else's heartbreak and forget your own grocery list. Streaming now.,Listen on Spotify: https://open.spotify.com/album/5TBsbgE68DTPlAFsPsLEhi | Apple Music: https://music.apple.com/us/album/i-learned-it-all-in-fifteen-seconds-single/6768918249 | YouTube Music: https://music.youtube.com/watch?v=vK0mDIW65o4,,i-learned-cover,no,auto,image,,2026-07-05T22:02:50.161519Z,unapproved_past_due_before_2026-07-04T22:02:50.161519Z
FP-AUTO-264,2026-06-23T10:00:00+08:00,TikTok,I Learned It All in Fifteen Seconds,Second launch clip angle,https://www.lilyroo.com/assets/albums/i-learned-it-all-in-fifteen-seconds/art/01-i-learned-it-all-in-fifteen-seconds.jpg,https://www.lilyroo.com/assets/media/01_i_learned_it_all_60s_tiktok.mp4?fresh=6cb3941d2,Swipe away before the pain sets in. Cute system we built. Streaming now.,"Swipe away before the pain sets in. Cute system we built. Streaming now.||The first single is live and the cover art got remastered, so the phone is officially too powerful.||Fifteen seconds, full feelings, remastered cover art. Streaming now.",Listen on Spotify: https://open.spotify.com/album/5TBsbgE68DTPlAFsPsLEhi | Apple Music: https://music.apple.com/us/album/i-learned-it-all-in-fifteen-seconds-single/6768918249 | YouTube Music: https://music.youtube.com/watch?v=vK0mDIW65o4,,i-learned-60s,no,auto,video,PUBLIC_TO_EVERYONE,2026-07-05T22:02:50.161519Z,unapproved_past_due_before_2026-07-04T22:02:50.161519Z
FP-PLAN-TWELVE-DOLLARS-INSTAGRAM,2026-06-25T10:00:00+08:00,Instagram,Twelve Dollars,Twelve Dollars promo coverage,https://www.lilyroo.com/assets/albums/twelve-dollars/art/04-twelve-dollars.jpg,,Twelve Dollars is part of the Lily Roo archive now. The remastered version is up.,"Twelve Dollars is live on YouTube: stage lights, scattered bills, impossible shoes, and one very stubborn little signal.||A small amount of money, a large amount of stage light. Full signal on YouTube.||Twelve Dollars is part of the Lily Roo archive now. The remastered version is up.",Full playlist: https://www.youtube.com/playlist?list=PLit3sD3SUfXVOB41L0JEae6LNTZtrg58n,,twelve-dollars-cover,no,auto,image,,2026-07-05T22:02:50.161519Z,unapproved_past_due_before_2026-07-04T22:02:50.161519Z
FP-AUTO-267,2026-06-27T21:35:00-04:00,Instagram,Brain Rot,Brain Rot daily Twelve Dollars spotlight,https://www.lilyroo.com/assets/albums/twelve-dollars/art/01-brain-rot-youtube-thumbnail.jpg,,The phone is melting politely. Brain Rot is tonight's Twelve Dollars signal. Watch the remastered video. Full Twelve Dollars playlist is live.,The phone is melting politely. Brain Rot is tonight's Twelve Dollars signal. Watch the remastered video. Full Twelve Dollars playlist is live.||Brain Rot gets the Twelve Dollars spotlight today. Full remaster is live on YouTube.||One song before Analog Myth lands: Brain Rot. The full remaster is live in the archive.,Watch Brain Rot: https://youtu.be/U7aczBSruAY | Full Twelve Dollars playlist: https://www.youtube.com/playlist?list=PLit3sD3SUfXVOB41L0JEae6LNTZtrg58n,,twelve-dollars-brain-rot-cover,no,auto,image,,2026-07-05T22:02:50.161519Z,unapproved_past_due_before_2026-07-04T22:02:50.161519Z
FP-AUTO-269,2026-06-27T22:15:00-04:00,TikTok,Brain Rot,Brain Rot daily Twelve Dollars spotlight,https://www.lilyroo.com/assets/albums/twelve-dollars/art/01-brain-rot-youtube-thumbnail.jpg,https://www.lilyroo.com/assets/albums/twelve-dollars/video/01-brain-rot-youtube-remaster.mp4,The phone is melting politely. Brain Rot is tonight's Twelve Dollars signal. Watch the remastered video. Full Twelve Dollars playlist is live.,The phone is melting politely. Brain Rot is tonight's Twelve Dollars signal. Watch the remastered video. Full Twelve Dollars playlist is live.||Brain Rot gets the Twelve Dollars spotlight today. Full remaster is live on YouTube.||One song before Analog Myth lands: Brain Rot. The full remaster is live in the archive.,Watch Brain Rot: https://youtu.be/U7aczBSruAY | Full Twelve Dollars playlist: https://www.youtube.com/playlist?list=PLit3sD3SUfXVOB41L0JEae6LNTZtrg58n,,twelve-dollars-brain-rot-video,no,auto,video,PUBLIC_TO_EVERYONE,2026-07-05T22:02:50.161519Z,unapproved_past_due_before_2026-07-04T22:02:50.161519Z
FP-AUTO-272,2026-06-28T21:35:00-04:00,Instagram,Every Pearl in Carmel,Every Pearl in Carmel daily Twelve Dollars spotlight,https://www.lilyroo.com/assets/albums/twelve-dollars/art/02-every-pearl-in-carmel-youtube-thumbnail.jpg,,Every Pearl in Carmel is the pretty souvenir that still knows what it cost. Watch the remastered video. Full Twelve Dollars playlist is live.,Every Pearl in Carmel is the pretty souvenir that still knows what it cost. Watch the remastered video. Full Twelve Dollars playlist is live.||Every Pearl in Carmel gets the Twelve Dollars spotlight today. Full remaster is live on YouTube.||One song before Analog Myth lands: Every Pearl in Carmel. The full remaster is live in the archive.,Watch Every Pearl in Carmel: https://youtu.be/QodRYnvTVZc | Full Twelve Dollars playlist: https://www.youtube.com/playlist?list=PLit3sD3SUfXVOB41L0JEae6LNTZtrg58n,,twelve-dollars-every-pearl-in-carmel-cover,no,auto,image,,2026-07-05T22:02:50.161519Z,unapproved_past_due_before_2026-07-04T22:02:50.161519Z
FP-AUTO-274,2026-06-28T22:15:00-04:00,TikTok,Every Pearl in Carmel,Every Pearl in Carmel daily Twelve Dollars spotlight,https://www.lilyroo.com/assets/albums/twelve-dollars/art/02-every-pearl-in-carmel-youtube-thumbnail.jpg,https://www.lilyroo.com/assets/albums/twelve-dollars/video/02-every-pearl-in-carmel-youtube-remaster.mp4,Every Pearl in Carmel is the pretty souvenir that still knows what it cost. Watch the remastered video. Full Twelve Dollars playlist is live.,Every Pearl in Carmel is the pretty souvenir that still knows what it cost. Watch the remastered video. Full Twelve Dollars playlist is live.||Every Pearl in Carmel gets the Twelve Dollars spotlight today. Full remaster is live on YouTube.||One song before Analog Myth lands: Every Pearl in Carmel. The full remaster is live in the archive.,Watch Every Pearl in Carmel: https://youtu.be/QodRYnvTVZc | Full Twelve Dollars playlist: https://www.youtube.com/playlist?list=PLit3sD3SUfXVOB41L0JEae6LNTZtrg58n,,twelve-dollars-every-pearl-in-carmel-video,no,auto,video,PUBLIC_TO_EVERYONE,2026-07-05T22:02:50.161519Z,unapproved_past_due_before_2026-07-04T22:02:50.161519Z
FP-AUTO-277,2026-06-29T21:35:00-04:00,Instagram,The Other One's Charging,The Other One's Charging daily Twelve Dollars spotlight,https://www.lilyroo.com/assets/albums/twelve-dollars/art/03-the-other-ones-charging-youtube-thumbnail.jpg,,The Other One's Charging is domestic chaos with a battery icon. Watch the remastered video. Full Twelve Dollars playlist is live.,The Other One's Charging is domestic chaos with a battery icon. Watch the remastered video. Full Twelve Dollars playlist is live.||The Other One's Charging gets the Twelve Dollars spotlight today. Full remaster is live on YouTube.||One song before Analog Myth lands: The Other One's Charging. The full remaster is live in the archive.,Watch The Other One's Charging: https://youtu.be/EprgLKHp-lE | Full Twelve Dollars playlist: https://www.youtube.com/playlist?list=PLit3sD3SUfXVOB41L0JEae6LNTZtrg58n,,twelve-dollars-the-other-ones-charging-cover,no,auto,image,,2026-07-05T22:02:50.161519Z,unapproved_past_due_before_2026-07-04T22:02:50.161519Z
