task_id,phase,owner,urgency,status,title,input_needed,worksheet_reference,source_path,preview_command,apply_after_review_command,completion_evidence,guardrail
platform-setup-FP-GROWTH-RESET-01-SLOW-WALK-LYRIC-PUNCH-LINE-FACEBOOK,Platform setup,tod,high,failed,Repair Facebook executor,local_secret_presence_and_public_posting_approval,complete platform setup preflight; public posting approval is only needed for direct public posting,data/platform_repair_status.json,python3 scripts/check_social_executor_dry_run.py --post-id FP-GROWTH-RESET-01-SLOW-WALK-LYRIC-PUNCH-LINE-FACEBOOK,,data/tiktok_setup_preflight.json should report direct public posting approval before TikTok backlog work is allowed.,Push worker secrets only after local platform setup is complete.
platform-setup-FP-GROWTH-RESET-02-SLOW-WALK-RELATABLE-SITUATION-FACEBOOK,Platform setup,tod,high,failed,Repair Facebook executor,local_secret_presence_and_public_posting_approval,complete platform setup preflight; public posting approval is only needed for direct public posting,data/platform_repair_status.json,python3 scripts/check_social_executor_dry_run.py --post-id FP-GROWTH-RESET-02-SLOW-WALK-RELATABLE-SITUATION-FACEBOOK,,data/tiktok_setup_preflight.json should report direct public posting approval before TikTok backlog work is allowed.,Push worker secrets only after local platform setup is complete.
platform-setup-FP-GROWTH-RESET-03-SLOW-WALK-VISUAL-STORY-FACEBOOK,Platform setup,tod,high,failed,Repair Facebook executor,local_secret_presence_and_public_posting_approval,complete platform setup preflight; public posting approval is only needed for direct public posting,data/platform_repair_status.json,python3 scripts/check_social_executor_dry_run.py --post-id FP-GROWTH-RESET-03-SLOW-WALK-VISUAL-STORY-FACEBOOK,,data/tiktok_setup_preflight.json should report direct public posting approval before TikTok backlog work is allowed.,Push worker secrets only after local platform setup is complete.
platform-setup-FP-GROWTH-RESET-04-SLOW-WALK-ECHO-THREAD-SETUP-SONG-PAYOFF-FACEBOOK,Platform setup,tod,high,failed,Repair Facebook executor,local_secret_presence_and_public_posting_approval,complete platform setup preflight; public posting approval is only needed for direct public posting,data/platform_repair_status.json,python3 scripts/check_social_executor_dry_run.py --post-id FP-GROWTH-RESET-04-SLOW-WALK-ECHO-THREAD-SETUP-SONG-PAYOFF-FACEBOOK,,data/tiktok_setup_preflight.json should report direct public posting approval before TikTok backlog work is allowed.,Push worker secrets only after local platform setup is complete.
platform-setup-FP-GROWTH-RESET-04-SLOW-WALK-ECHO-THREAD-SETUP-SONG-PAYOFF-YOUTUBE,Platform setup,tod,high,failed,Repair YouTube executor,local_secret_presence_and_public_posting_approval,complete platform setup preflight; public posting approval is only needed for direct public posting,data/platform_repair_status.json,python3 scripts/check_social_executor_dry_run.py --post-id FP-GROWTH-RESET-04-SLOW-WALK-ECHO-THREAD-SETUP-SONG-PAYOFF-YOUTUBE,,data/tiktok_setup_preflight.json should report direct public posting approval before TikTok backlog work is allowed.,Push worker secrets only after local platform setup is complete.
platform-setup-FP-GROWTH-RESET-05-SPILLING-THE-TEA-LYRIC-PUNCH-LINE-FACEBOOK,Platform setup,tod,high,failed,Repair Facebook executor,local_secret_presence_and_public_posting_approval,complete platform setup preflight; public posting approval is only needed for direct public posting,data/platform_repair_status.json,python3 scripts/check_social_executor_dry_run.py --post-id FP-GROWTH-RESET-05-SPILLING-THE-TEA-LYRIC-PUNCH-LINE-FACEBOOK,,data/tiktok_setup_preflight.json should report direct public posting approval before TikTok backlog work is allowed.,Push worker secrets only after local platform setup is complete.
platform-setup-FP-GROWTH-RESET-05-SPILLING-THE-TEA-LYRIC-PUNCH-LINE-YOUTUBE,Platform setup,tod,high,failed,Repair YouTube executor,local_secret_presence_and_public_posting_approval,complete platform setup preflight; public posting approval is only needed for direct public posting,data/platform_repair_status.json,python3 scripts/check_social_executor_dry_run.py --post-id FP-GROWTH-RESET-05-SPILLING-THE-TEA-LYRIC-PUNCH-LINE-YOUTUBE,,data/tiktok_setup_preflight.json should report direct public posting approval before TikTok backlog work is allowed.,Push worker secrets only after local platform setup is complete.
platform-setup-FP-GROWTH-RESET-06-SPILLING-THE-TEA-RELATABLE-SITUATION-FACEBOOK,Platform setup,tod,high,failed,Repair Facebook executor,local_secret_presence_and_public_posting_approval,complete platform setup preflight; public posting approval is only needed for direct public posting,data/platform_repair_status.json,python3 scripts/check_social_executor_dry_run.py --post-id FP-GROWTH-RESET-06-SPILLING-THE-TEA-RELATABLE-SITUATION-FACEBOOK,,data/tiktok_setup_preflight.json should report direct public posting approval before TikTok backlog work is allowed.,Push worker secrets only after local platform setup is complete.
platform-setup-FP-GROWTH-RESET-06-SPILLING-THE-TEA-RELATABLE-SITUATION-YOUTUBE,Platform setup,tod,high,failed,Repair YouTube executor,local_secret_presence_and_public_posting_approval,complete platform setup preflight; public posting approval is only needed for direct public posting,data/platform_repair_status.json,python3 scripts/check_social_executor_dry_run.py --post-id FP-GROWTH-RESET-06-SPILLING-THE-TEA-RELATABLE-SITUATION-YOUTUBE,,data/tiktok_setup_preflight.json should report direct public posting approval before TikTok backlog work is allowed.,Push worker secrets only after local platform setup is complete.
platform-setup-FP-GROWTH-RESET-07-SPILLING-THE-TEA-VISUAL-STORY-FACEBOOK,Platform setup,tod,high,failed,Repair Facebook executor,local_secret_presence_and_public_posting_approval,complete platform setup preflight; public posting approval is only needed for direct public posting,data/platform_repair_status.json,python3 scripts/check_social_executor_dry_run.py --post-id FP-GROWTH-RESET-07-SPILLING-THE-TEA-VISUAL-STORY-FACEBOOK,,data/tiktok_setup_preflight.json should report direct public posting approval before TikTok backlog work is allowed.,Push worker secrets only after local platform setup is complete.
