platform,field,current_value,new_value,live_value,collection_mode,value_type,example_value,collection_instruction,source_hint,collection_url,reason,update_assignment,import_effect,platform_update_command,csv_row,ready_to_import
facebook,reach_7d,pending,,,manual_collection_required,nonnegative_integer,123,Enter reach for the last 7 days.,Meta Business Suite > Insights,https://www.facebook.com/903693509504290,(#100) The value must be a valid insights metric,facebook.reach_7d=VALUE,update data/manual_social_stats.json facebook.reach_7d from 'pending' to the filled new_value,python3 scripts/update_manual_social_stats.py facebook.reach_7d=VALUE --refresh-admin,2,False
instagram,followers,pending,,,manual_collection_required,nonnegative_integer,123,Enter the current public follower count.,Instagram Professional Dashboard > Insights,https://www.instagram.com/professional_dashboard/,Instagram posting could not resolve instagram_business_account from FB_PAGE_ID; set IG_BUSINESS_ACCOUNT_ID or reconnect the Instagram Business/Creator account to the Facebook Page,instagram.followers=VALUE,update data/manual_social_stats.json instagram.followers from 'pending' to the filled new_value,python3 scripts/update_manual_social_stats.py instagram.followers=VALUE instagram.profile_visits_7d=VALUE --refresh-admin,3,False
instagram,profile_visits_7d,pending,,,manual_collection_required,nonnegative_integer,12,Enter profile visits for the last 7 days.,Instagram Professional Dashboard > Insights,https://www.instagram.com/professional_dashboard/,Instagram posting could not resolve instagram_business_account from FB_PAGE_ID; set IG_BUSINESS_ACCOUNT_ID or reconnect the Instagram Business/Creator account to the Facebook Page,instagram.profile_visits_7d=VALUE,update data/manual_social_stats.json instagram.profile_visits_7d from 'pending' to the filled new_value,python3 scripts/update_manual_social_stats.py instagram.followers=VALUE instagram.profile_visits_7d=VALUE --refresh-admin,4,False
spotify,artist_followers,pending,,,manual_collection_required,nonnegative_integer,123,Enter the current Spotify artist follower count.,Spotify for Artists > Music/Stats export,https://open.spotify.com/artist/4yzWmf64UKLwbAVwnDi49a,"Spotify streams, saves, monthly listeners, and artist followers require Spotify for Artists export or a connected analytics source.",spotify.artist_followers=VALUE,update data/manual_social_stats.json spotify.artist_followers from 'pending' to the filled new_value,python3 scripts/update_manual_social_stats.py spotify.artist_followers=VALUE spotify.monthly_listeners=VALUE spotify.release_streams=VALUE spotify.saves=VALUE --refresh-admin,5,False
spotify,monthly_listeners,pending,,,manual_collection_required,nonnegative_integer,123,Enter the current Spotify monthly listener count.,Spotify for Artists > Music/Stats export,https://open.spotify.com/artist/4yzWmf64UKLwbAVwnDi49a,"Spotify streams, saves, monthly listeners, and artist followers require Spotify for Artists export or a connected analytics source.",spotify.monthly_listeners=VALUE,update data/manual_social_stats.json spotify.monthly_listeners from 'pending' to the filled new_value,python3 scripts/update_manual_social_stats.py spotify.artist_followers=VALUE spotify.monthly_listeners=VALUE spotify.release_streams=VALUE spotify.saves=VALUE --refresh-admin,6,False
spotify,release_streams,pending,,,manual_collection_required,nonnegative_integer,1234,Enter lifetime streams for the promoted release.,Spotify for Artists > Music/Stats export,https://open.spotify.com/artist/4yzWmf64UKLwbAVwnDi49a,"Spotify streams, saves, monthly listeners, and artist followers require Spotify for Artists export or a connected analytics source.",spotify.release_streams=VALUE,update data/manual_social_stats.json spotify.release_streams from 'pending' to the filled new_value,python3 scripts/update_manual_social_stats.py spotify.artist_followers=VALUE spotify.monthly_listeners=VALUE spotify.release_streams=VALUE spotify.saves=VALUE --refresh-admin,7,False
spotify,saves,pending,,,manual_collection_required,nonnegative_integer,12,Enter lifetime saves for the promoted release.,Spotify for Artists > Music/Stats export,https://open.spotify.com/artist/4yzWmf64UKLwbAVwnDi49a,"Spotify streams, saves, monthly listeners, and artist followers require Spotify for Artists export or a connected analytics source.",spotify.saves=VALUE,update data/manual_social_stats.json spotify.saves from 'pending' to the filled new_value,python3 scripts/update_manual_social_stats.py spotify.artist_followers=VALUE spotify.monthly_listeners=VALUE spotify.release_streams=VALUE spotify.saves=VALUE --refresh-admin,8,False
tiktok,followers,pending,,,manual_collection_required,nonnegative_integer,123,Enter the current public follower count.,TikTok Studio or Creator Center analytics,https://www.tiktok.com/creator-center/analytics,TikTok metrics need TikTok OAuth credentials.,tiktok.followers=VALUE,update data/manual_social_stats.json tiktok.followers from 'pending' to the filled new_value,python3 scripts/update_manual_social_stats.py tiktok.followers=VALUE tiktok.profile_views_7d=VALUE --refresh-admin,9,False
tiktok,profile_views_7d,pending,,,manual_collection_required,nonnegative_integer,12,Enter profile views for the last 7 days.,TikTok Studio or Creator Center analytics,https://www.tiktok.com/creator-center/analytics,TikTok metrics need TikTok OAuth credentials.,tiktok.profile_views_7d=VALUE,update data/manual_social_stats.json tiktok.profile_views_7d from 'pending' to the filled new_value,python3 scripts/update_manual_social_stats.py tiktok.followers=VALUE tiktok.profile_views_7d=VALUE --refresh-admin,10,False
x,followers,pending,,,manual_collection_required,nonnegative_integer,123,Enter the current public follower count.,X Analytics or account profile metrics,https://analytics.x.com/,X metrics need X_USER_ACCESS_TOKEN with user lookup access.,x.followers=VALUE,update data/manual_social_stats.json x.followers from 'pending' to the filled new_value,python3 scripts/update_manual_social_stats.py x.followers=VALUE x.impressions_7d=VALUE --refresh-admin,11,False
x,impressions_7d,pending,,,manual_collection_required,nonnegative_integer,123,Enter impressions for the last 7 days.,X Analytics or account profile metrics,https://analytics.x.com/,X metrics need X_USER_ACCESS_TOKEN with user lookup access.,x.impressions_7d=VALUE,update data/manual_social_stats.json x.impressions_7d from 'pending' to the filled new_value,python3 scripts/update_manual_social_stats.py x.followers=VALUE x.impressions_7d=VALUE --refresh-admin,12,False
