id,song,lyric_excerpt,backstory_id,backstory_summary,source_status,notes
LR-LYRIC-001,Analog Myth,"If you can’t read clocks… maybe time is just a myth",LR-ANEC-003,"Written after staring at a blinking 12:00 clock; time/feeling mismatch.",canon,Primary hook line
LR-LYRIC-002,I Learned It All in Fifteen Seconds,"I've lived a thousand lives alone",LR-ANEC-008,"Came from one long scroll session that felt like a year.",canon,Use for social empathy hooks
LR-LYRIC-003,I Learned It All in Fifteen Seconds,"I keep a charger by my bed",LR-ANEC-006,"Modern-candle metaphor; attachment to feed-era intimacy.",canon,Great for short captions
LR-LYRIC-004,Brain Rot,"(placeholder lyric excerpt)",LR-ANEC-019,"Draft backstory: overstimulated feed life + emotional numbness turning into satire.",draft,Replace excerpt with exact lyric when finalized
LR-LYRIC-005,Guards Down,"We check the screen like it's truth.",LR-ANEC-023,"Lives in the split between instinct and performance, when no choice feels fully settled.",canon,Primary hook line
LR-LYRIC-006,Guards Down,"No soft version of brave.",LR-ANEC-024,"Connects bravery to the exposed throw, when the guards are down and the shot is fully yours.",canon,Strong quote-card line
LR-LYRIC-007,13,"13. Small jump. Not brave. Just enough.",LR-SONG-025,"The core thesis: a tiny independence moment, not a total transformation.",canon,Primary chorus hook
LR-LYRIC-008,13,"Spicy rigatoni.",LR-SONG-025,"Restaurant-ordering moment where Lily chooses to be heard in a small safe way.",canon,Use with dining-table artwork
LR-LYRIC-009,13,"One aisle over. Beating heart.",LR-SONG-025,"Grocery-store independence moment: leaving the cart and returning changed only to herself.",canon,Use with grocery aisle artwork
LR-LYRIC-010,13,"I order. I answer. I leave. I come back.",LR-SONG-025,"Final chorus condenses the song's action map into small visible steps.",canon,Best summary excerpt
